no,name,dzongkhag,village,phone,rooms,beds,email,license,profile_url,whatsapp,certification,source
59,Tshering Homestay,Paro,,17687642,4,8,,,,https://wa.me/97517687642,DOT certified VHS,DOT certified village homestay list
60,Paro Penlop Heritage Homestay,Paro,,17622667,4,8,,,,https://wa.me/97517622667,DOT certified VHS,DOT certified village homestay list
61,Tashi Lhamo Homestay,Paro,,17666293,2,4,,,,https://wa.me/97517666293,DOT certified VHS,DOT certified village homestay list
62,Dema Homestay,Paro,,17628150,4,8,,,,https://wa.me/97517628150,DOT certified VHS,DOT certified village homestay list
63,Chencho Dema Homestay,Paro,,17675757,4,7,chenchodema5757@gmail.com,,,https://wa.me/97517675757,DOT certified VHS,DOT certified village homestay list
64,Travellers Homestay,Paro,,17604517,4,8,,,,https://wa.me/97517604517,DOT certified VHS,DOT certified village homestay list
65,Paro Kichu Homestay,Paro,,17620695,3,6,killaychoki@gmail.com,,,https://wa.me/97517620695,DOT certified VHS,DOT certified village homestay list
66,Gensa Homestay,Paro,,17614157,3,6,,,,https://wa.me/97517614157,DOT certified VHS,DOT certified village homestay list
67,Sangay Homestay,Paro,,17969145,3,6,,,,https://wa.me/97517969145,DOT certified VHS,DOT certified village homestay list
68,Chencho Dorji Homestay,Paro,,17824314,1,1,nchoki@yahoo.com,,,https://wa.me/97517824314,DOT certified VHS,DOT certified village homestay list
69,Bara Homestay,Paro,,17710171,3,6,somyanday@gmail.com,,,https://wa.me/97517710171,DOT certified VHS,DOT certified village homestay list
70,Dorji Dema Homestay,Paro,,17791416,3,6,sherabdorjee76@gmail.com,,,https://wa.me/97517791416,DOT certified VHS,DOT certified village homestay list
71,Pema Wangchuk Homestay,Paro,,77368059 / 17982509,3,6,,,,https://wa.me/97577368059,DOT certified VHS,DOT certified village homestay list
72,Chimi Lhakhang Homestay,Punakha,,17851311,3,6,dagozam07@gmail.com,,,https://wa.me/97517851311,DOT certified VHS,DOT certified village homestay list
73,Lala Homestay,Punakha,,17660506,3,6,,,,https://wa.me/97517660506,DOT certified VHS,DOT certified village homestay list
74,Chechey Homestay,Punakha,,17545898,4,8,,,,https://wa.me/97517545898,DOT certified VHS,DOT certified village homestay list
75,Chimi Wangmo Homestay,Punakha,,77606530,3,6,,,,https://wa.me/97577606530,DOT certified VHS,DOT certified village homestay list
76,Leki Wangmo Homestay,Punakha,,17615212,4,8,,,,https://wa.me/97517615212,DOT certified VHS,DOT certified village homestay list
77,Happiness Field Homestay,Punakha,,17609998,3,8,yangchenkarma698@gmail.com,,,https://wa.me/97517609998,DOT certified VHS,DOT certified village homestay list
78,Thinley Wangmo Homestay,Punakha,,17659143,3,6,,,,https://wa.me/97517659143,DOT certified VHS,DOT certified village homestay list
79,Mendrelgang Homestay,Punakha,,77469174,5,7,,,,https://wa.me/97577469174,DOT certified VHS,DOT certified village homestay list
80,Namgay Zam Homestay,Punakha,,17843335,3,6,tenzinom1995@gmail.com,,,https://wa.me/97517843335,DOT certified VHS,DOT certified village homestay list
81,Yuwakha Homestay,Punakha,,17623793 / 77623793,3,6,,,,https://wa.me/97517623793,DOT certified VHS,DOT certified village homestay list
82,Sonam Chenzom Homestay,Punakha,,17605948,3,6,kinleyd2014@gmail.com,,,https://wa.me/97517605948,DOT certified VHS,DOT certified village homestay list
83,Mendelgang Heritage Homestay,Punakha,,17603474,3,6,mendegangheritagehome@gmail.com,,,https://wa.me/97517603474,DOT certified VHS,DOT certified village homestay list
84,Pema Zangmo Homestay,Punakha,,17475742,2,4,,,,https://wa.me/97517475742,DOT certified VHS,DOT certified village homestay list
85,Lotay Gyeltshen Homestay,Punakha,,17619315,3,6,,,,https://wa.me/97517619315,DOT certified VHS,DOT certified village homestay list
86,FAM Heritage Homestay,Punakha,,17619962,2,4,tdorjinsb@gmail.com,,,https://wa.me/97517619962,DOT certified VHS,DOT certified village homestay list
87,Merak Homestay,Trashigang,,17745042,3,6,,,,https://wa.me/97517745042,DOT certified VHS,DOT certified village homestay list
88,Naktsang Homestay (Rangshikhar),Trashigang,,17116766,3,6,dek_pel@yahoo.com,,,https://wa.me/97517116766,DOT certified VHS,DOT certified village homestay list
89,Wangpo Tshering Homestay,Trashigang,,17356380,2,4,,,,https://wa.me/97517356380,DOT certified VHS,DOT certified village homestay list
90,Sisina Homestay,Thimphu,,17902417,3,3,,,,https://wa.me/97517902417,DOT certified VHS,DOT certified village homestay list
91,Chorten Dendup Homestay,Trashi Yangtse,,17701156,5,10,,,,https://wa.me/97517701156,DOT certified VHS,DOT certified village homestay list
92,Jigme Tenzin Homestay,Trashi Yangtse,,17714103,4,8,,,,https://wa.me/97517714103,DOT certified VHS,DOT certified village homestay list
93,Thukten Tshering Homestay,Trashi Yangtse,,17659821,3,6,,,,https://wa.me/97517659821,DOT certified VHS,DOT certified village homestay list
94,Dorji Tse Homestay,Trongsa,,77619923,3,6,tshodee90@gmail.com,,,https://wa.me/97577619923,DOT certified VHS,DOT certified village homestay list
95,Dawa Lham Homestay,Wangdue Phodrang,,17845863,3,6,,,,https://wa.me/97517845863,DOT certified VHS,DOT certified village homestay list
96,Dechen Om Homestay,Wangdue Phodrang,,17870644,2,4,,,,https://wa.me/97517870644,DOT certified VHS,DOT certified village homestay list
97,Karma Wangmo Homestay,Wangdue Phodrang,,17683831 / 77234698,5,10,karmawangmohomestay@gmail.com,,https://services.bhutan.travel/search/homestay/karma-wangmo-village-homestay-1,https://wa.me/97517683831,DOT certified VHS,DOT certified village homestay list
98,Karma Homestay,Wangdue Phodrang,,17683831,2,4,klley89@gmail.com,,,https://wa.me/97517683831,DOT certified VHS,DOT certified village homestay list
99,Sonam Yuden Homestay,Wangdue Phodrang,,17625853,4,8,,,,https://wa.me/97517625853,DOT certified VHS,DOT certified village homestay list
100,Passang Zam Homestay,Wangdue Phodrang,,17443219,4,8,passanghomestay@gmail.com,,,https://wa.me/97517443219,DOT certified VHS,DOT certified village homestay list
101,Sigay Homestay,Wangdue Phodrang,,17995496 / 17841894,5,10,,,,https://wa.me/97517995496,DOT certified VHS,DOT certified village homestay list
102,Kuenzang Choeling Homestay,Wangdue Phodrang,,17364619 / 77379375,3,6,passangzangmo@gmail.com,,,https://wa.me/97517364619,DOT certified VHS,DOT certified village homestay list
103,Dophu Wangmo Homestay,Wangdue Phodrang,,17749283,2,4,,,,https://wa.me/97517749283,DOT certified VHS,DOT certified village homestay list
104,Dorji Om Homestay,Wangdue Phodrang,,17964102 / 77875586,3,6,,,,https://wa.me/97517964102,DOT certified VHS,DOT certified village homestay list
105,Gyelmo Homestay,Wangdue Phodrang,,17970585,4,8,,,,https://wa.me/97517970585,DOT certified VHS,DOT certified village homestay list
106,Lhakpa Homestay,Wangdue Phodrang,,17518940,5,10,,,,https://wa.me/97517518940,DOT certified VHS,DOT certified village homestay list
107,Pem Homestay,Wangdue Phodrang,,17736941,5,10,,,,https://wa.me/97517736941,DOT certified VHS,DOT certified village homestay list
108,Phub Gyeltshen Homestay,Wangdue Phodrang,,77343118 / 17879831,3,6,,,,https://wa.me/97577343118,DOT certified VHS,DOT certified village homestay list
109,Phub Lham Homestay,Wangdue Phodrang,,17512152 / 77890836,3,6,Dechenma604@gmail.com,,,https://wa.me/97517512152,DOT certified VHS,DOT certified village homestay list
110,Phub Lhamo Homestay,Wangdue Phodrang,,77376000,5,10,,,,https://wa.me/97577376000,DOT certified VHS,DOT certified village homestay list
111,Shakar Homestay,Wangdue Phodrang,,77422570 / 17754508,2,4,Dekigawa995@gmail.com,,,https://wa.me/97577422570,DOT certified VHS,DOT certified village homestay list
112,Tshering Lhamo Homestay,Wangdue Phodrang,,17846102,3,6,Yeegadema123@gmail.com,,,https://wa.me/97517846102,DOT certified VHS,DOT certified village homestay list
113,Wangchuk Dema Homestay,Wangdue Phodrang,,17451374 / 17861601,4,8,wangchukdema174@gmail.com,,,https://wa.me/97517451374,DOT certified VHS,DOT certified village homestay list
114,Yangka Homestay,Wangdue Phodrang,,17846897,4,8,,,,https://wa.me/97517846897,DOT certified VHS,DOT certified village homestay list
115,Zangmo Homestay,Wangdue Phodrang,,17512474,4,8,,,,https://wa.me/97517512474,DOT certified VHS,DOT certified village homestay list
116,Kumbu Lhamo Homestay,Wangdue Phodrang,,77807211,4,8,,,,https://wa.me/97577807211,DOT certified VHS,DOT certified village homestay list
117,Tokha Menchu Homestay,Wangdue Phodrang,,17512512 / 17253939,3,6,,,,https://wa.me/97517512512,DOT certified VHS,DOT certified village homestay list
118,Pemba Homestay,Wangdue Phodrang,,17734049 / 17447754,3,6,peewang312@yahoo.com,,,https://wa.me/97517734049,DOT certified VHS,DOT certified village homestay list
119,Dechen Peldon Homestay,Wangdue Phodrang,,17527214,5,10,,,,https://wa.me/97517527214,DOT certified VHS,DOT certified village homestay list
120,Tsewang Buthri Homestay,Zhemgang,,17545152,2,4,sonamyaden102@gmail.com,,,https://wa.me/97517545152,DOT certified VHS,DOT certified village homestay list
121,Tshering Yuden Homestay,Zhemgang,,77444780,3,6,chodentashi17@gmail.com,,,https://wa.me/97577444780,DOT certified VHS,DOT certified village homestay list
122,Sonam Yangzom Homestay,Zhemgang,,17878185,4,8,,,,https://wa.me/97517878185,DOT certified VHS,DOT certified village homestay list
123,Yeshi Choden Homestay,Zhemgang,,17483910,5,10,,,,https://wa.me/97517483910,DOT certified VHS,DOT certified village homestay list
124,Damchi Homestay,Punakha,Damchi / Kabjisa,77212308,3,,Kinleydema205@gmail.com,DOT/SCD/HS-PKHA-23/2024,https://services.bhutan.travel/search/homestay/damchi-homestay,https://wa.me/97577212308,DOT licensed (portal),"services.bhutan.travel homestay profile (licensed, not on numbered PDF)"
125,Kinley Om Homestay,Punakha,,17775611,3,,omkinley493@gmail.com,DOT/SCD/HS/PKHA-26/2024,https://services.bhutan.travel/search/homestay/kinley-om-homestay,https://wa.me/97517775611,DOT licensed (portal),"services.bhutan.travel homestay profile (licensed, not on numbered PDF)"
126,Zomlingthang Homestay,Punakha,Zomlingthang,17721172,3,,pemazam1982@gmail.com,DOT/SCD/HS-PKHA-30/2024,https://services.bhutan.travel/search/homestay/zomlingthang-homestay,https://wa.me/97517721172,DOT licensed (portal),"services.bhutan.travel homestay profile (licensed, not on numbered PDF)"
127,Sangay Dema Home Stay,Trashigang,Merak / Gengu,17261119,4,,tashidorji1119@gmail.com,HS-TGNG-6/2024,https://services.bhutan.travel/search/homestay/sangay-dema-home-stay,https://wa.me/97517261119,DOT licensed (portal),"services.bhutan.travel homestay profile (licensed, not on numbered PDF)"
