name,city,star_rating,category,room_type,meal_plan,high_season_inr,high_season_usd,low_season_inr,low_season_usd,off_season_inr,off_season_usd,phone,email
Hotel Bhutan Kubera,Thimphu,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17281728,
Hotel Drukchen,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,8271660,drukchen123@gmail.com
"Uma Hotel and Resort, Bhutan Eco Ventures Pvt. Ltd",Punakha,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,584646/08271597,uma.punakha@comohotels.com
Hotel Park,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17235474/77221003,hotelparkthimphu@gmail.com
Trogon Villa,Mongar,3,comfort,Standard,BB,5000,70,4250,59.5,3500,49,05332302/77110133,rogonvillareservations@gmail.com
Maitri Hotel,Samtse,1,basic,Standard,BB,5000,70,4250,59.5,3500,49,17680136,geleywangmochunzo2020@gmail.com
Hotel Zirikha,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17171633,reservation@hotelzirikha.com
Bhutan Boutique Residency,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17627884,bhutanboutiqueresidency@gmail.com
Hotel Khuruu Khuruu,Punakha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17315385,hotelkhuruu@gmail.com
Hotel Always Welcome,Paro,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17170850,
Shomo Chuki Resort,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17843408/276426,shomochukiresort2021@gmail.com
Hotel Peling,Bumthang,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,3631579/17734824,info.hotelpeling@gmail.com
Hotel Amochhu View,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17602917/05253882,kinleytenzin0288@gmail.com
Lama Residency,Sarpang,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17255610,
Hotel Lhayul,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17638481/02350898,info@hotellhayul.com
City Hotel,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17164142,info@cityhotelthimphu.com
Odiyana Hotel,Wangdue Phodrang,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17683664,odiyanahotel@gmail.com
Hotel Bhutan Home,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,05-253344,hotelbhutanhome@gmail.com
"Uma Hotel and Resort, Bhutan Eco Ventures Pvt. Ltd",Paro,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,08-271597,res.uma.bhutan@comohotels.com
Resort Thim Dorji @ Paro river front,Paro,4,premium,Standard,BB,5000,70,4250,59.5,3500,49,17755898,resortthimdorjigm@gmail.com
Jakar Village Lodge,Bumthang,3,comfort,Standard,BB,5000,70,4250,59.5,3500,49,17171777/631242,jakarvillagelodge@gmail.com
Pema Yangsel Hotel,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,77830163/17471717/1749853/17954478,hotelpemayangsel@gmail.com
Hotel Lhaki,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,,lhakihotelthimphu@gmail.com
Yarkay Ihcl SeleQtions,Thimphu,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,02-339988,d2tbfo@dusit.com
Alem Hotel & Resort,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17525363/77376930,alembhutan@gmail.com
Hotel Aari Sangdrup,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17281847,aarisangdruphotel@gmail.com
Hotel Phuntsho Pelri,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,334970,hotelpp1@gmail.com
Gangtey Lodge,Wangdue Phodrang,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,77160666/17160666,gm@gangteylodge.com
Damchen  Riverside Resort,Punakha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,584367/17360545,damchenresorts@gmail.com
Gawaling Hotel,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,08-276588/17170768,gawalinghotel1@gmail.com
Druk Zhongar Hotel,Mongar,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,04-641587,drukzhongarhotel@gmail.com
Jampelyang Hotel,Haa,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,8375601,hoteljampelyang@gmail.com
Udumwara Resort,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,8273333/77477777,udumwararesortparo@gmail.com
Drukgyel View Hotel,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17457938,drukgyelviewhotel@gmail.com
Bhutan Resort Private Ltd(Amankora Resort),Bumthang,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,3631555,cdorji@amanresorts.com
Wangchuk Hotel,Mongar,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,04641522/17333498,mongar@wangchukhotel.com
Bhutan Peaceful Residency & Spa,Thimphu,4,premium,Standard,BB,5000,70,4250,59.5,3500,49,17140222,bhutanpeaceful2022@gmail.com
Olathang Cottages,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,08-276581/17474725,olathangcottages@gmail.com
Mantra Home,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17100111,mantrahomefo@gmail.com
Hotel Bhutan Ga Me Ga,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,5253064,reservation@bhutangamega.com
Hotel Lotus Villa,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,77382518,lotusvilla2022@gmail.com
Spirit of Bhutan Resort,Paro,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17170388/276375/76,
Khamsum Inn,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,77349156/328262/72,khamsuminn@gmail.com
Spirit Village Lodge,Punakha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17170388/17621623,spiritvillagelodge@gmail.com
Dungsam Hotel,Pemagatshel,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17994850,
Hotel Zhusa,Punakha,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,17614064,
Khuru Punakha,Punakha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,2584888,khurupunakha@gmail.com
Zhiwaling Ascent,Thimphu,4,premium,Standard,BB,5000,70,4250,59.5,3500,49,336491/336480,ascentgm@zhiwalingascent.com
Hotel Thimphu Central,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,77977444/77977555,hotelthimphucentral@gmail.com
Chhume Nature Resort,Bumthang,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,3541176/17114837,chumeynatureresort@yahoo.com
Hotel Changangkha,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,2333110/17583831,info@hotelchangangkha.com
ABC Lodge,Wangdue Phodrang,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,,
Hotel Gakyil,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,339640,reservation@gakyilbhutan.com
Bhuan Venture Hospility Pvt.Ltd (Six Senses),Paro,5,luxury,Standard,BB,55000,750,46750,637.5,38500,525,350827/350772,restm.pro-bhutan@sixsenses.com
Hotel Roja ( RJK Hotel),Punakha,2,basic,Standard,BB,5000,70,4250,59.5,3500,49,77998403,rjkhotelpunakha@gmail.com
The BD Hotel,Thimphu,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17602220,bdbhutan@gmail.com
Park Hotel,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,17161067/17161068,reservations@parkhotelbhutan.com
Central Hotel,Chhukha,3,standard,Standard,BB,2650,38,2253,32.3,1855,26.6,05252172/177949900,reservation@centralhotelbhutan.com
